Model,Accuracy,Precision,Recall,F1,ROC-AUC
LogisticRegression,0.8626206196038598,0.051188299817184646,0.56,0.09380234505862646,0.7448199588477366
RandomForest,0.9860335195530726,0.4,0.2,0.26666666666666666,0.8183667695473251
GradientBoosting,0.9852717115286947,0.34615384615384615,0.18,0.23684210526315788,0.8564531893004115
XGBoost,0.9852717115286947,0.36666666666666664,0.22,0.275,0.8342258230452675
LightGBM,0.9847638395124428,0.375,0.3,0.3333333333333333,0.824948559670782
